TLANAME,CRASHROAD,CRASHDIST,CRASHDIRN,INTSN,SIDEROAD,CRASHID,CRASHDATE,CRASHDOW,CRASHTIME,MVMT,VEHICLES,CAUSES,OBJECTSSTRUCK,ROADCURVE,ROADWET,LIGHT,WTHRa,JUNCTYPE,TRAFCTRL,ROADMARK,SPDLIM,CRASHFATALCNT,CRASHSEVCNT,CRASHMINCNT,PERSAGE1,PERSAGE2,EASTING,NORTHING
Ashburton District,1S/401/14.659,, ,I,COPLANDS ROAD,201440877,04/08/2014,Mon,145,CA,CN1,402A 433A ,F,R,D,DN,F ,X,S,C,100,0,0,0,,,1510221,5147162
Ashburton District,1S/416/3.094,, ,I,STANLEY ROAD,201438247,05/06/2014,Thu,1959,KB,4E1C,302B 382B ,,R,D,DN,F ,T,G,C,100,0,0,0,,,1507575,5145557
Ashburton District,1S/416/4.241,80,S, ,WINCHMORE DROMORE ROAD,201418754,10/12/2014,Wed,900,FA,TN1B,112A 181A 331A 387A 191B 197B 801 ,,R,W,O ,L , , ,C,100,0,0,1,,,1506701,5144818
Ashburton District,1S/416/6.08,1600,N, ,FAIRFIELD ROAD WEST,201439922,20/06/2014,Fri,635,CB,CN1,135A 802 ,C,R,I,DN,FF, ,N,L,100,0,0,0,,,1505358,5143563
Ashburton District,1S/416/10.081,, ,I,MITCHAM ROAD,201414831,04/07/2014,Fri,1520,JA,VN14,302B 377B ,,R,D,BN,F ,T,G,C,100,0,0,1,,,1502409,5140860
Ashburton District,1S/416/11.439,, ,I,GOLF LINKS DRIVE,201414066,04/06/2014,Wed,1620,JA,CN1C,301B 375B ,,R,D,B ,F ,T,S,C,100,0,0,2,,,1501420,5139929
Ashburton District,1S/416/12.182,100,S, ,RACECOURSE ROAD,201418602,07/12/2014,Sun,1309,BE,CS1T,103A 133A ,,R,D,BF,F , ,N,C,50,0,0,1,,,1500877,5139422
Ashburton District,1S/416/12.301,, ,I,EAST ST,201439300,18/05/2014,Sun,715,CB,CS1,130A 410A ,T,R,D,O ,F ,T,N,P,50,0,0,0,,,1500789,5139342
Ashburton District,1S/416/13.014,100,N, ,QUEENS DRIVE,201450032,27/12/2014,Sat,1155,FD,CS1V4,181A ,,R,D,B ,F , , ,P,50,0,0,0,,,1500268,5138855
Ashburton District,1S/416/13.114,, ,I,QUEENS DRIVE,201417334,30/10/2014,Thu,1612,MC,CN14,191A 372B 671B ,,R,D,B ,F ,T,S,C,50,0,0,1,,,1500194,5138787
